,Unnamed: 0,Player,Nation,Pos,Squad,Comp,Age,Born,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Expected xG,Expected npxG,Expected npxG/Sh,Expected G-xG,Expected np:G-xG,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xAG,Expected xA,Expected A-xAG,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types Live,Pass Types Dead,Pass Types FK,Pass Types TB,Pass Types Sw,Pass Types Crs,Pass Types TI,Pass Types CK,Corner Kicks In,Corner Kicks Out,Corner Kicks Str,Outcomes Cmp,Outcomes Off,Outcomes Blocks,SCA SCA,SCA SCA90,SCA Types PassLive,SCA Types PassDead,SCA Types TO,SCA Types Sh,SCA Types Fld,SCA Types Def,GCA GCA,GCA GCA90,GCA Types PassLive,GCA Types PassDead,GCA Types TO,GCA Types Sh,GCA Types Fld,GCA Types Def,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Succ%,Take-Ons Tkld,Take-Ons Tkld%,Carries Carries,Carries TotDist,Carries PrgDist,Carries PrgC,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec,Receiving PrgR,Performance CrdY,Performance CrdR,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%
0,479,Aaron Ciammaglichella,it ITA,MF,Torino,it Serie A,19-350,2005.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,540,Aaron Cresswell,eng ENG,DF,West Ham,eng Premier League,35-026,1989.0,6.0,0.0,55.0,0.6,0.0,1.0,0.0,0.0,1.64,0.0,0.0,0.0,31.6,1.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,34.0,49.0,69.4,704.0,353.0,14.0,18.0,77.8,15.0,18.0,83.3,5.0,12.0,41.7,0.0,0.1,0.1,-0.1,3.0,3.0,0.0,0.0,3.0,49.0,39.0,10.0,4.0,0.0,1.0,5.0,5.0,1.0,1.0,0.0,0.0,34.0,0.0,1.0,5.0,8.18,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,100.0,0.0,1.0,0.0,1.0,0.0,2.0,4.0,0.0,56.0,3.0,19.0,26.0,12.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,22.0,65.0,26.0,1.0,2.0,0.0,0.0,0.0,29.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,50.0
2,2428,Aaron Wan-Bissaka,eng ENG,DF,West Ham,eng Premier League,27-045,1997.0,19.0,18.0,1624.0,18.0,2.0,11.0,3.0,27.3,0.61,0.17,0.18,0.67,15.5,0.0,0.0,0.0,0.9,0.9,0.09,1.1,1.1,710.0,874.0,81.2,10114.0,3692.0,464.0,514.0,90.3,209.0,265.0,78.9,25.0,54.0,46.3,0.0,0.9,1.3,-0.9,17.0,51.0,14.0,4.0,74.0,874.0,759.0,114.0,6.0,3.0,1.0,33.0,108.0,0.0,0.0,0.0,0.0,710.0,1.0,22.0,50.0,2.77,40.0,2.0,4.0,2.0,0.0,2.0,3.0,0.17,2.0,0.0,0.0,1.0,0.0,0.0,36.0,28.0,18.0,16.0,2.0,12.0,15.0,80.0,3.0,17.0,5.0,12.0,32.0,68.0,57.0,0.0,1085.0,82.0,349.0,456.0,303.0,25.0,1085.0,58.0,30.0,51.7,20.0,34.5,499.0,3508.0,2119.0,59.0,35.0,7.0,18.0,12.0,615.0,73.0,0.0,0.0,0.0,14.0,11.0,2.0,33.0,32.0,28.0,0.0,0.0,0.0,96.0,10.0,16.0,38.5
3,1445,Aarón Martín,es ESP,DF,Genoa,it Serie A,27-263,1997.0,18.0,18.0,1546.0,17.2,0.0,10.0,3.0,30.0,0.58,0.17,0.0,0.0,25.2,3.0,0.0,0.0,0.5,0.5,0.05,-0.5,-0.5,588.0,818.0,71.9,11041.0,4221.0,229.0,256.0,89.5,266.0,334.0,79.6,83.0,196.0,42.3,1.0,2.1,3.4,-1.1,35.0,40.0,16.0,11.0,46.0,818.0,604.0,210.0,41.0,0.0,1.0,139.0,118.0,51.0,29.0,20.0,0.0,588.0,4.0,12.0,55.0,3.2,27.0,23.0,2.0,1.0,2.0,0.0,3.0,0.17,2.0,1.0,0.0,0.0,0.0,0.0,37.0,25.0,19.0,15.0,3.0,18.0,27.0,66.7,9.0,18.0,7.0,11.0,10.0,47.0,38.0,1.0,955.0,49.0,267.0,391.0,313.0,13.0,955.0,16.0,9.0,56.3,6.0,37.5,418.0,2487.0,1205.0,28.0,15.0,3.0,13.0,7.0,508.0,68.0,4.0,0.0,0.0,25.0,13.0,1.0,139.0,10.0,25.0,0.0,1.0,0.0,69.0,12.0,13.0,48.0
4,2243,Abakar Sylla,ci CIV,DF,Strasbourg,fr Ligue 1,22-016,2002.0,12.0,8.0,651.0,7.2,1.0,5.0,1.0,20.0,0.69,0.14,0.2,1.0,9.0,0.0,0.0,0.0,0.4,0.4,0.08,0.6,0.6,390.0,447.0,87.2,6796.0,2545.0,142.0,159.0,89.3,226.0,247.0,91.5,18.0,34.0,52.9,0.0,0.0,0.1,0.0,0.0,9.0,0.0,0.0,9.0,447.0,392.0,55.0,18.0,0.0,1.0,0.0,11.0,0.0,0.0,0.0,0.0,390.0,0.0,5.0,3.0,0.41,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.14,0.0,0.0,0.0,1.0,0.0,0.0,20.0,10.0,11.0,7.0,2.0,11.0,12.0,91.7,1.0,12.0,7.0,5.0,7.0,27.0,29.0,0.0,523.0,100.0,356.0,149.0,20.0,9.0,523.0,5.0,2.0,40.0,3.0,60.0,281.0,883.0,320.0,0.0,0.0,0.0,3.0,3.0,323.0,2.0,2.0,0.0,0.0,14.0,7.0,0.0,0.0,7.0,10.0,0.0,0.0,1.0,29.0,12.0,10.0,54.5
5,2142,Abdallah Sima,sn SEN,FW,Brest,fr Ligue 1,23-207,2001.0,11.0,5.0,474.0,5.3,3.0,17.0,10.0,58.8,3.23,1.9,0.18,0.3,13.7,0.0,0.0,0.0,2.0,2.0,0.12,1.0,1.0,90.0,130.0,69.2,1213.0,281.0,57.0,73.0,78.1,27.0,41.0,65.9,3.0,3.0,100.0,1.0,0.2,0.1,0.8,2.0,3.0,2.0,1.0,10.0,130.0,127.0,3.0,1.0,0.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0,90.0,0.0,4.0,10.0,1.9,6.0,0.0,0.0,3.0,1.0,0.0,1.0,0.19,1.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,0.0,2.0,3.0,3.0,5.0,60.0,2.0,2.0,0.0,2.0,1.0,6.0,4.0,0.0,200.0,4.0,28.0,74.0,101.0,22.0,200.0,10.0,4.0,40.0,6.0,60.0,121.0,889.0,329.0,17.0,5.0,8.0,20.0,7.0,139.0,37.0,0.0,0.0,0.0,6.0,10.0,1.0,8.0,1.0,4.0,0.0,0.0,0.0,29.0,14.0,13.0,51.9
6,755,Abde Ezzalzouli,ma MAR,"FW,MF",Betis,es La Liga,23-024,2001.0,18.0,15.0,1290.0,14.3,1.0,43.0,14.0,32.6,3.0,0.98,0.02,0.07,15.2,1.0,0.0,1.0,6.8,6.0,0.14,-5.8,-5.0,361.0,515.0,70.1,4405.0,1397.0,250.0,313.0,79.9,94.0,133.0,70.7,3.0,20.0,15.0,1.0,1.5,1.4,-0.5,19.0,30.0,13.0,2.0,52.0,515.0,496.0,18.0,3.0,2.0,2.0,30.0,14.0,1.0,0.0,0.0,0.0,361.0,1.0,22.0,48.0,3.35,30.0,0.0,8.0,6.0,3.0,1.0,3.0,0.21,2.0,0.0,0.0,1.0,0.0,0.0,28.0,19.0,13.0,12.0,3.0,10.0,17.0,58.8,7.0,16.0,3.0,13.0,5.0,33.0,9.0,0.0,738.0,7.0,81.0,286.0,393.0,105.0,737.0,76.0,38.0,50.0,28.0,36.8,472.0,3560.0,2102.0,80.0,56.0,38.0,42.0,35.0,541.0,143.0,1.0,0.0,0.0,15.0,27.0,3.0,30.0,5.0,19.0,1.0,0.0,0.0,72.0,16.0,22.0,42.1
7,15,Abdel Abqar,ma MAR,DF,Alavés,es La Liga,25-306,1999.0,17.0,17.0,1398.0,15.5,0.0,5.0,1.0,20.0,0.32,0.06,0.0,0.0,7.3,0.0,0.0,0.0,0.4,0.4,0.08,-0.4,-0.4,382.0,527.0,72.5,8582.0,3295.0,103.0,114.0,90.4,207.0,235.0,88.1,69.0,159.0,43.4,1.0,0.2,0.3,0.8,5.0,40.0,7.0,1.0,54.0,527.0,492.0,32.0,29.0,1.0,10.0,4.0,2.0,0.0,0.0,0.0,0.0,382.0,3.0,4.0,17.0,1.09,12.0,0.0,0.0,2.0,1.0,2.0,3.0,0.19,2.0,0.0,0.0,0.0,1.0,0.0,23.0,14.0,14.0,8.0,1.0,11.0,20.0,55.0,9.0,15.0,10.0,5.0,24.0,47.0,80.0,0.0,693.0,101.0,358.0,304.0,36.0,10.0,693.0,2.0,1.0,50.0,1.0,50.0,327.0,2086.0,1192.0,11.0,6.0,0.0,10.0,1.0,337.0,3.0,8.0,0.0,0.0,31.0,12.0,1.0,4.0,24.0,14.0,1.0,1.0,0.0,45.0,19.0,21.0,47.5
8,1929,Abderrahman Rebbach,dz ALG,"FW,MF",Alavés,es La Liga,26-152,1998.0,8.0,4.0,385.0,4.3,0.0,6.0,1.0,16.7,1.4,0.23,0.0,0.0,20.3,0.0,0.0,0.0,0.2,0.2,0.03,-0.2,-0.2,74.0,118.0,62.7,1234.0,255.0,41.0,58.0,70.7,24.0,35.0,68.6,8.0,17.0,47.1,0.0,0.3,0.4,-0.3,6.0,2.0,5.0,3.0,5.0,118.0,108.0,10.0,1.0,0.0,1.0,17.0,2.0,7.0,4.0,0.0,0.0,74.0,0.0,6.0,10.0,2.34,7.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,3.0,0.0,0.0,0.0,6.0,0.0,6.0,4.0,0.0,4.0,0.0,3.0,6.0,0.0,173.0,4.0,27.0,62.0,85.0,18.0,173.0,14.0,3.0,21.4,9.0,64.3,103.0,674.0,389.0,16.0,6.0,7.0,9.0,5.0,107.0,34.0,1.0,0.0,0.0,5.0,6.0,2.0,17.0,0.0,2.0,0.0,0.0,0.0,16.0,1.0,11.0,8.3
9,988,Abdou Harroui,nl NED,"MF,FW",Hellas Verona,it Serie A,26-363,1998.0,10.0,5.0,463.0,5.1,1.0,15.0,4.0,26.7,2.92,0.78,0.07,0.25,17.7,1.0,0.0,0.0,2.2,2.2,0.15,-1.2,-1.2,160.0,202.0,79.2,2324.0,580.0,96.0,106.0,90.6,54.0,69.0,78.3,6.0,15.0,40.0,2.0,0.4,0.6,1.6,4.0,16.0,3.0,2.0,21.0,202.0,197.0,4.0,1.0,1.0,0.0,9.0,3.0,0.0,0.0,0.0,0.0,160.0,1.0,6.0,15.0,2.92,13.0,0.0,2.0,0.0,0.0,0.0,3.0,0.58,3.0,0.0,0.0,0.0,0.0,0.0,9.0,6.0,6.0,3.0,0.0,4.0,4.0,100.0,0.0,5.0,0.0,5.0,2.0,11.0,5.0,0.0,283.0,5.0,41.0,144.0,105.0,17.0,283.0,20.0,6.0,30.0,13.0,65.0,175.0,1241.0,631.0,23.0,20.0,4.0,12.0,10.0,203.0,34.0,1.0,0.0,0.0,10.0,3.0,0.0,9.0,2.0,6.0,0.0,0.0,0.0,22.0,8.0,7.0,53.3
